452	Course	0	Design Electrical small antenna	IEEE	3	Days	2020-07-28	14-21-01-3089	\N	Certificate	RF and Microwave
448	Course	0	Design Ultra wideband antenna	IEEE	3	Days	2020-07-25	14-21-01-3089	\N	Certificate	RF and Microwave
453	Course	0	EMC/EMI workshop	RIMMS,NUST	3	Days	2019-06-16	14-21-01-3089	\N	Certificate	RF and Microwave
466	Degree	30	GCE Ordinary Level	Chapter & Verse	3	Years	2012-08-13	14-21-01-8590	A-1	\N	General Science
463	Degree	35	GCE Advanced Level	Beaconhouse School System	2	Years	2014-08-13	14-21-01-8590	A-1	\N	Pre-engineering
468	Course	0	Successful Career Development	University System of Georgia	4	Months	2019-07-07	14-21-01-8590	A-1	\N	\N
471	Degree	35	Intermediate	Liquat College, Karachi	2	Years	2014-06-30	14-20-08-7529	C	\N	Commerce
474	Degree	35	HSSC	DA SKBZ College	2	Years	2014-06-01	14-20-08-8409	A	\N	Pre-Engineering
476	Degree	30	SSC	DA SKBZ College	2	Years	2012-05-01	14-20-08-8409	A	\N	Computer Science
481	Degree	30	HSC	Govt High School Wapda Colony Mianwali	2	Years	2009-10-01	11-21-04-5275	B	\N	Science
482	Degree	30	O Level	IBCC	2	Years	2012-07-30	14-20-08-1035	A	\N	\N
483	Degree	35	A Level	IBCC	2	Years	2014-07-31	14-20-08-1035	A	\N	\N
488	Degree	70	MS(EE)	Xian Jiaotong University	2	Years	2018-05-30	14-20-12-7912	3.55	\N	Power Electronics
493	Course	0	POWER SYSTEM ANALYSIS	XJTU	2	Months	2017-02-05	14-20-12-7912	A	-	Power Systems
494	Degree	30	SSC	BISE-Faisalabad	2	Years	2010-04-05	14-20-08-4355	898/1050	\N	General science
496	Degree	35	HSSC	BISE-Faisalabad	2	Years	2012-05-05	14-20-08-4355	935/1100	\N	Pre-engg
497	Degree	60	BE Electrical	NUST-PNEC	4	Years	2016-03-06	14-20-08-4355	3.60/4.0	\N	Electrical
507	Degree	35	FSc	PECHS Education Foundation Government Science College	2	Years	2015-05-15	14-21-05-8099	B	\N	Pre-Engineering
